_RAJ2000	_DEJ2000	HD	DM	GC	HR	HIP	RAJ2000	DEJ2000	Vmag	Fl	Bayer	Cst
076.9809583	+21.7048333	 32991	BD+21   766 	 6263	1660	 23883	05 07 55.43	+21 42 17.4	 5.84	105	     	Tau
076.9096667	 +9.4727222	 33021	BD+09   736 	 6261	1662	 23852	05 07 38.32	+09 28 21.8	 6.15	 13	     	Ori
076.2414583	-49.5778333	 33042	CD-49  1562 	 6234	1663	 23649	05 04 57.95	-49 34 40.2	 5.05	   	eta02	Pic
076.9702917	 +8.4985833	 33054	BD+08   866 	 6269	1664	 23879	05 07 52.87	+08 29 54.9	 5.33	 14	i    	Ori
076.9626250	 -5.0862500	 33111	BD-05  1162 	 6274	1666	 23875	05 07 51.03	-05 05 10.5	 2.78	 67	bet  	Eri
077.3316667	 +9.8296111	 33254	BD+09   743 	 6300	1672	 23983	05 09 19.60	+09 49 46.6	 5.43	 16	h    	Ori
077.1819583	 -4.4562500	 33256	BD-04  1056 	 6292	1673	 23941	05 08 43.67	-04 27 22.5	 5.11	 68	     	Eri
076.3778750	-57.4730000	 33262	CP-57   735 	 6258	1674	 23693	05 05 30.69	-57 28 22.8	 4.71	   	zet  	Dor
077.4248333	+15.5972778	 33276	BD+15   752 	 6306	1676	 24010	05 09 41.96	+15 35 50.2	 4.81	 15	     	Ori
075.6791667	-71.3143333	 33285	CP-71   309 	 6232	1677	 23467	05 02 43.00	-71 18 51.6	 5.30	   	bet  	Men
078.3803750	+62.6911389	 33296	BD+62   734 	 6352	1678	 24348	05 13 31.29	+62 41 28.1	 6.49	 14	     	Cam
077.2865833	 -8.7540833	 33328	BD-08  1040 	 6304	1679	 23972	05 09 08.78	-08 45 14.7	 4.25	 69	lam  	Eri
078.3572083	+38.4846667	 33641	BD+38  1063 	 6375	1689	 24340	05 13 25.73	+38 29 04.8	 4.82	 11	mu.  	Aur
078.0745417	-11.8691389	 33802	BD-12  1095 	 6374	1696	 24244	05 12 17.89	-11 52 08.9	 4.45	  3	iot  	Lep
078.3228333	 +2.8612500	 33856	BD+02   888 	 6381	1698	 24331	05 13 17.48	+02 51 40.5	 4.46	 17	rho  	Ori
078.2327917	-16.2054167	 33904	BD-16  1072 	 6382	1702	 24305	05 12 55.87	-16 12 19.5	 3.29	  5	mu.  	Lep
078.3078750	-12.9412778	 33949	BD-13  1092 	 6387	1705	 24327	05 13 13.89	-12 56 28.6	 4.36	  4	kap  	Lep
078.8517083	+32.6875833	 33959	BD+32   922 	 6411	1706	 24504	05 15 24.41	+32 41 15.3	 5.01	 14	     	Aur
079.1129167	+46.4155556	 33988	BD+46   989 	 6424	    	      	05 16 27.10	+46 24 56.0	 6.90	 12	     	Aur
079.1720833	+45.9990278	 34029	BD+45  1077 	 6427	1708	 24608	05 16 41.30	+45 59 56.5	 0.08	 13	alf  	Aur
078.8652500	+22.2848611	 34053	BD+22   864 	 6413	1711	 24512	05 15 27.66	+22 17 05.5	 6.26	108	     	Tau
079.0756250	+34.3122222	 34078	BD+34   980 	 6429	1712	 24575	05 16 18.15	+34 18 44.0	 5.99	   	AE   	Aur
078.6344583	 -8.2016389	 34085	BD-08  1063 	 6410	1713	 24436	05 14 32.27	-08 12 05.9	 0.18	 19	bet  	Ori
074.7124583	-82.4705278	 34172	CP-82   106 	 6254	1716	 23148	04 58 50.99	-82 28 13.9	 5.84	   	ksi  	Men
079.0172500	+11.3413611	 34203	BD+11   756 	 6436	1718	 24555	05 16 04.14	+11 20 28.9	 5.52	 18	     	Ori
079.8660417	+58.1174167	 34233	BD+57   874 	 6478	1719	 24836	05 19 27.85	+58 07 02.7	 6.13	 15	     	Cam
079.5439583	+33.3720000	 34334	BD+33  1000 	 6473	1726	 24727	05 18 10.55	+33 22 19.2	 4.54	 16	     	Aur
079.5787083	+33.7674167	 34364	BD+33  1002 	 6476	1728	 24740	05 18 18.89	+33 46 02.7	 6.15	 17	AR   	Aur
079.7836667	+40.1006667	 34411	BD+39  1248 	 6494	1729	 24813	05 19 08.08	+40 06 02.4	 4.69	 15	lam  	Aur
079.8488333	+33.9854444	 34499	BD+33  1010 	 6504	1734	 24832	05 19 23.72	+33 59 07.6	 6.49	 18	     	Aur
079.4016667	 -6.8443889	 34503	BD-07  1028 	 6480	1735	 24674	05 17 36.40	-06 50 39.8	 3.59	 20	tau  	Ori
079.8191250	+22.0966944	 34559	BD+21   816 	 6506	1739	 24822	05 19 16.59	+22 05 48.1	 4.96	109	n    	Tau
080.0038333	+33.9580556	 34578	BD+33  1013 	 6515	1740	 24879	05 20 00.92	+33 57 29.0	 5.05	 19	     	Aur
079.3709167	-34.8943889	 34642	CD-35  2214 	 6495	1743	 24659	05 17 29.02	-34 53 39.8	 4.81	   	omi  	Col
078.4392917	-67.1853611	 34649	CP-67   401 	 6444	1744	 24372	05 13 45.43	-67 11 07.3	 4.81	   	the  	Dor
079.7967917	 +2.5959444	 34658	BD+02   916 	 6509	1746	 24817	05 19 11.23	+02 35 45.4	 5.34	 21	     	Ori
080.4517083	+41.8046667	 34759	BD+41  1162 	 6556	1749	 25048	05 21 48.41	+41 48 16.8	 5.22	 20	rho  	Aur
080.8659583	+57.5445278	 34787	BD+57   879 	 6578	1751	 25197	05 23 27.83	+57 32 40.3	 5.24	 16	     	Cam
079.8938750	-13.1767778	 34816	BD-13  1127 	 6531	1756	 24845	05 19 34.53	-13 10 36.4	 4.29	  6	lam  	Lep
079.9959583	-12.3156111	 34863	BD-12  1132 	 6538	1757	 24873	05 19 59.03	-12 18 56.2	 5.29	  7	nu.  	Lep
080.4406250	 -0.3824722	 35039	BD-00   930 	 6579	1765	 25044	05 21 45.75	-00 22 56.9	 4.72	 22	o    	Ori
079.8421250	-50.6065278	 35072	CD-50  1723 	 6553	1767	 24829	05 19 22.11	-50 36 23.5	 5.44	   	zet  	Pic
080.8452500	+28.9368333	 35076	BD+28   788 	 6609	1768	 25192	05 23 22.86	+28 56 12.6	 6.45	 22	     	Aur
080.7127500	 +3.5522500	 35148	BD+03   872 	 6610	    	 25145	05 22 51.06	+03 33 08.1	 7.12	 23	m    	Ori
080.7083333	 +3.5444444	 35149	BD+03   871 	 6607	1770	 25142	05 22 50.00	+03 32 40.0	 4.99	 23	m    	Ori
081.1630833	+37.3853889	 35186	BD+37  1175 	 6636	1773	 25292	05 24 39.14	+37 23 07.4	 5.02	 21	sig  	Aur
080.9071667	+16.6993611	 35189	BD+16   765 	 6623	1774	 25216	05 23 37.72	+16 41 57.7	 6.09	110	     	Tau
081.1054583	+17.3835556	 35296	BD+17   920 	 6645	1780	 25278	05 24 25.31	+17 23 00.8	 5.00	111	     	Tau
080.8756667	-13.9273611	 35337	BD-14  1119 	 6635	1783	 25202	05 23 30.16	-13 55 38.5	 5.25	  8	     	Lep
080.9868333	 -7.8079444	 35369	BD-07  1064 	 6646	1784	 25247	05 23 56.84	-07 48 28.6	 4.13	 29	e    	Ori
081.1204583	 -0.8916667	 35410	BD-01   886 	 6654	1787	 25282	05 24 28.91	-00 53 30.0	 5.07	 27	p    	Ori
081.1192500	 -2.3971389	 35411	BD-02  1235 	 6655	1788	 25281	05 24 28.62	-02 23 49.7	 3.35	 28	eta  	Ori
081.1867917	 +1.8464444	 35439	BD+01  1005 	 6660	1789	 25302	05 24 44.83	+01 50 47.2	 4.89	 25	     	Ori
081.2827917	 +6.3497222	 35468	BD+06   919 	 6668	1790	 25336	05 25 07.87	+06 20 59.0	 1.64	 24	gam  	Ori
081.5729167	+28.6078611	 35497	BD+28   795 	 6681	1791	 25428	05 26 17.50	+28 36 28.3	 1.65	112	bet  	Tau
081.5238333	+16.7001667	 35532	BD+16   775 	 6683	1798	 25410	05 26 05.72	+16 42 00.6	 6.23	113	     	Tau
080.5922917	-56.1344444	 35580	CP-56   840 	 6644	1801	 25098	05 22 22.15	-56 08 04.0	 6.10	   	kap  	Pic
082.5425417	+63.0672222	 35583	BD+62   759 	 6744	1802	 25769	05 30 10.21	+63 04 02.0	 5.43	 17	     	Cam
081.9120417	+34.4760000	 35620	BD+34  1048 	 6715	1805	 25541	05 27 38.89	+34 28 33.6	 5.08	 24	phi  	Aur
081.7920417	+17.9622778	 35671	BD+17   928 	 6714	1808	 25499	05 27 10.09	+17 57 44.2	 5.40	115	     	Tau
081.9086667	+21.9369722	 35708	BD+21   847 	 6723	1810	 25539	05 27 38.08	+21 56 13.1	 4.88	114	o    	Tau
081.7092917	 +3.0956667	 35715	BD+02   962 	 6713	1811	 25473	05 26 50.23	+03 05 44.4	 4.59	 30	psi  	Ori
081.9400417	+15.8741111	 35770	BD+15   826 	 6729	1814	 25555	05 27 45.61	+15 52 26.8	 5.52	116	     	Tau
082.0066667	+17.2392500	 35802	BD+17   931 	 6733	1816	 25583	05 28 01.60	+17 14 21.3	 5.77	117	     	Tau
081.1928750	-52.3161667	 35860	CP-52   718 	 6695	1818	 25303	05 24 46.29	-52 18 58.2	 6.26	   	the  	Pic
082.3187083	+25.1503056	 35943	BD+25   839 	 6764	1821	 25695	05 29 16.49	+25 09 01.1	 5.47	118	     	Tau
083.1403333	+57.2216111	 36066	BD+57   889 	 6814	1828	 25973	05 32 33.68	+57 13 17.8	 6.44	 18	     	Cam
082.0613750	-20.7592222	 36079	BD-20  1096 	 6762	1829	 25606	05 28 14.73	-20 45 33.2	 2.81	  9	bet  	Lep
082.4332500	 -1.0921667	 36167	BD-01   913 	 6792	1834	 25737	05 29 43.98	-01 05 31.8	 4.71	 31	     	Ori
081.5803333	-58.9126111	 36189	CP-59   472 	 6749	1836	 25429	05 26 19.28	-58 54 45.4	 5.14	   	lam  	Dor
082.5829583	 +4.2048611	 36217	BD+04   949 	 6806	1837	 25785	05 30 19.91	+04 12 17.5	 6.21	   	CK   	Ori
082.6960417	 +5.9482222	 36267	BD+05   939 	 6813	1839	 25813	05 30 47.05	+05 56 53.6	 4.20	 32	A    	Ori
082.8105417	 +3.2921389	 36351	BD+03   948 	 6823	1842	 25861	05 31 14.53	+03 17 31.7	 5.46	 33	n01  	Ori
083.1819583	+32.1920278	 36371	BD+32  1024 	 6849	1843	 25984	05 32 43.67	+32 11 31.3	 4.71	 25	chi  	Aur
083.0531250	+18.5942500	 36389	BD+18   875 	 6841	1845	 25945	05 32 12.75	+18 35 39.3	 4.32	119	CE   	Tau
082.7817500	-20.8635556	 36473	BD-20  1105 	 6837	1849	 25853	05 31 07.62	-20 51 48.8	 5.53	 10	     	Lep
083.0020833	 -0.2844444	 36485	BD-00   982 	 6848	1851	      	05 32 00.50	-00 17 04.0	 6.85	 34	del  	Ori
083.0016667	 -0.2990833	 36486	BD-00   983 	 6847	1852	 25930	05 32 00.40	-00 17 56.7	 2.25	 34	del  	Ori
082.9827500	 -7.3015278	 36512	BD-07  1106 	 6850	1855	 25923	05 31 55.86	-07 18 05.5	 4.62	 36	ups  	Ori
084.3127917	+64.1548611	 36570	BD+64   536 	 6917	1857	 26408	05 37 15.07	+64 09 17.5	 6.15	 19	     	Cam
083.3817917	+18.5402222	 36576	BD+18   877 	 6879	1858	 26064	05 33 31.63	+18 32 24.8	 5.67	120	     	Tau
082.8030833	-35.4704444	 36597	CD-35  2348 	 6846	1862	 25859	05 31 12.74	-35 28 13.6	 3.86	   	eps  	Col
083.4762083	+14.3055833	 36653	BD+14   947 	 6886	1864	 26093	05 33 54.29	+14 18 20.1	 5.60	 35	     	Ori
083.1825417	-17.8223056	 36673	BD-17  1166 	 6875	1865	 25985	05 32 43.81	-17 49 20.3	 2.58	 11	alf  	Lep
083.3810417	 -1.1560833	 36695	BD-01   943 	 6884	1868	 26063	05 33 31.45	-01 09 21.9	 5.36	   	VV   	Ori
083.5699583	 +3.7669444	 36777	BD+03   964 	 6896	1872	 26126	05 34 16.79	+03 46 01.0	 5.32	 38	n02  	Ori
083.8630000	+24.0396389	 36819	BD+23   954 	 6916	1875	 26248	05 35 27.12	+24 02 22.7	 5.37	121	     	Tau
083.7051667	 +9.4895833	 36822	BD+09   877 	 6907	1876	 26176	05 34 49.24	+09 29 22.5	 4.39	 37	phi01	Ori
083.7845000	 +9.9341667	 36861	BD+09   879A	 6915	1879	 26207	05 35 08.28	+09 56 03.0	 3.39	 39	lam  	Ori
083.7854167	 +9.9350000	 36862	BD+09   879B	     	1880	      	05 35 08.50	+09 56 06.0	 5.61	 39	lam  	Ori
083.8465000	 -4.8383333	 37018	BD-04  1185 	 6934	1892	 26237	05 35 23.16	-04 50 18.0	 4.58	 42	c    	Ori
083.8159167	 -5.3873056	 37020	BD-05  1315 	     	1893	 26220	05 35 15.82	-05 23 14.3	 4.98	 41	the01	Ori
083.8170833	 -5.3852778	 37021	BD-05  1315B	     	1894	      	05 35 16.10	-05 23 07.0	 7.96	 41	the01	Ori
083.8186250	 -5.3896944	 37022	BD-05  1315C	 6931	1895	 26221	05 35 16.47	-05 23 22.9	 5.13	 41	the01	Ori
083.8216667	 -5.3876944	 37023	BD-05  1315 	     	1896	 26224	05 35 17.20	-05 23 15.7	 6.71	 41	the01	Ori
083.8454167	 -5.4160556	 37041	BD-05  1319 	 6935	1897	 26235	05 35 22.90	-05 24 57.8	 4.98	 43	the02	Ori
083.8582500	 -5.9098889	 37043	BD-06  1241 	 6937	1899	 26241	05 35 25.98	-05 54 35.6	 2.75	 44	iot  	Ori
084.7726250	+56.3601111	 37070	BD+56  1044 	 6990	    	 26587	05 39 05.43	+56 21 36.4	 7.17	 22	     	Cam
083.9145417	 -4.8560833	 37077	BD-04  1188 	 6945	1901	 26268	05 35 39.49	-04 51 21.9	 5.24	 45	     	Ori
084.0533750	 -1.2019167	 37128	BD-01   969 	 6960	1903	 26311	05 36 12.81	-01 12 06.9	 1.69	 46	eps  	Ori
084.2654583	+17.0404167	 37147	BD+16   822 	 6973	1905	 26382	05 37 03.71	+17 02 25.5	 5.53	122	     	Tau
084.2263750	 +9.2914167	 37160	BD+09   898 	 6972	1907	 26366	05 36 54.33	+09 17 29.1	 4.09	 40	phi02	Ori
084.4111667	+21.1425833	 37202	BD+21   908 	 6985	1910	 26451	05 37 38.68	+21 08 33.3	 2.97	123	zet  	Tau
084.6587500	+30.4924444	 37269	BD+30   963 	 7002	1914	 26536	05 38 38.10	+30 29 32.8	 5.40	 26	     	Aur
083.2480000	-64.2275278	 37297	CP-64   456 	 6927	1917	 26001	05 32 59.52	-64 13 39.1	 5.34	 28	     	Dor
083.4063333	-62.4898611	 37350	CP-62   487 	 6944	1922	 26069	05 33 37.52	-62 29 23.5	 3.76	   	bet  	Dor
084.3187083	-27.8711944	 37430	CD-27  2389 	 6999	1926	 26412	05 37 16.49	-27 52 16.3	 6.15	   	nu.01	Col
084.9341250	+25.8971389	 37438	BD+25   902 	 7047	1928	 26640	05 39 44.19	+25 53 49.7	 5.18	125	     	Tau
084.6865417	 -2.6000556	 37468	BD-02  1326 	 7031	1931	 26549	05 38 44.77	-02 36 00.2	 3.77	 48	sig  	Ori
084.6962500	 -2.5941667	 37479	BD-02  1327 	 7034	1932	      	05 38 47.10	-02 35 39.0	 6.65	 48	sig  	Ori
084.7964583	 +4.1214722	 37490	BD+04  1002 	 7042	1934	 26594	05 39 11.15	+04 07 17.3	 4.50	 47	ome  	Ori
084.4360000	-28.6898056	 37495	CD-28  2321 	 7013	1935	 26460	05 37 44.64	-28 41 23.3	 5.28	   	nu.02	Col
084.7212083	 -7.2127222	 37507	BD-07  1142 	 7039	1937	 26563	05 38 53.09	-07 12 45.8	 4.77	 49	d    	Ori
085.7569167	+56.5814444	 37601	BD+56  1050 	 7105	1941	 26942	05 43 01.66	+56 34 53.2	 6.05	 24	     	Cam
086.0352500	+61.4765278	 37638	BD+61   816 	 7124	1943	 27046	05 44 08.46	+61 28 35.5	 6.17	 23	     	Cam
085.3238333	+16.5341944	 37711	BD+16   841 	 7094	1946	 26777	05 41 17.72	+16 32 03.1	 4.84	126	     	Tau
085.1896667	 -1.9425833	 37742	BD-02  1338A	 7089	1948	 26727	05 40 45.52	-01 56 33.3	 1.74	 50	zet  	Ori
085.1900000	 -1.9427778	 37743	BD-02  1338B	     	1949	      	05 40 45.60	-01 56 34.0	 4.21	 50	zet  	Ori
082.9694167	-76.3416667	 37763	CP-76   333 	 6966	1953	 25918	05 31 52.66	-76 20 30.0	 5.18	   	gam  	Men
084.9122500	-34.0740556	 37795	CD-34  2375 	 7078	1956	 26634	05 39 38.94	-34 04 26.6	 2.65	   	alf  	Col
085.6194167	 +1.4746667	 37984	BD+01  1105 	 7136	1963	 26885	05 42 28.66	+01 28 28.8	 4.90	 51	b    	Ori
085.5581667	-22.3737500	 38090	BD-22  1194 	 7141	1968	 26865	05 42 13.96	-22 22 25.5	 5.88	 12	     	Lep
086.6265417	+56.1157222	 38091	BD+56  1058 	 7191	1969	 27249	05 46 30.37	+56 06 56.6	 5.93	 26	     	Cam
086.4752083	+49.8262778	 38104	BD+49  1398 	 7182	1971	 27196	05 45 54.05	+49 49 34.6	 5.46	 27	omi  	Aur
086.7275000	+56.9240000	 38129	BD+56  1059 	 7201	    	 27283	05 46 54.60	+56 55 26.4	 6.79	 28	     	Cam
086.1104167	-22.4216667	 38392	BD-22  1210 	 7196	1982	      	05 44 26.50	-22 25 18.0	 6.15	 13	gam  	Lep
086.1165417	-22.4475000	 38393	BD-22  1211 	 7197	1983	 27072	05 44 27.97	-22 26 51.0	 3.59	 13	gam  	Lep
086.6895417	+15.8225000	 38478	BD+15   926 	 7224	1985	 27265	05 46 45.49	+15 49 21.0	 6.00	129	     	Tau
086.8047917	+14.4884167	 38545	BD+14  1025 	 7237	1989	 27316	05 47 13.15	+14 29 18.3	 5.72	131	     	Tau
086.8591667	+17.7291389	 38558	BD+17  1004 	 7241	1990	 27338	05 47 26.20	+17 43 44.9	 5.47	130	     	Tau
083.9005417	-78.8208889	 38602	CP-78   195 	 7102	1991	 26264	05 35 36.13	-78 49 15.2	 6.04	   	iot  	Men
087.6412083	+56.9189444	 38618	BD+56  1065 	 7293	1992	 27592	05 50 33.89	+56 55 08.2	 6.53	 29	     	Cam
086.9287500	+13.8996389	 38622	BD+13   979 	 7249	1993	 27364	05 47 42.90	+13 53 58.7	 5.28	133	     	Tau
087.2935833	+39.1811389	 38656	BD+39  1418 	 7277	1995	 27483	05 49 10.46	+39 10 52.1	 4.51	 29	tau  	Aur
086.4995417	-32.3063889	 38666	CD-32  2538 	 7230	1996	 27204	05 45 59.89	-32 18 23.0	 5.18	   	mu.  	Col
086.7389583	-14.8219444	 38678	BD-14  1232 	 7247	1998	 27288	05 46 57.35	-14 49 19.0	 3.55	 14	zet  	Lep
087.0009583	 +6.4542222	 38710	BD+06  1027 	 7262	1999	 27386	05 48 00.23	+06 27 15.2	 5.26	 52	     	Ori
087.2540000	+24.5675556	 38751	BD+24   970 	 7283	2002	 27468	05 49 00.96	+24 34 03.2	 4.88	132	     	Tau
086.9391250	 -9.6696111	 38771	BD-09  1235 	 7264	2004	 27366	05 47 45.39	-09 40 10.6	 2.07	 53	kap  	Ori
088.0719167	+58.9641389	 38831	BD+58   863 	 7327	2006	 27731	05 52 17.26	+58 57 50.9	 6.14	 30	     	Cam
087.3872500	+12.6513611	 38899	BD+12   912 	 7306	2010	 27511	05 49 32.94	+12 39 04.9	 4.89	134	     	Tau
087.7600417	+37.3056944	 38944	BD+37  1336 	 7322	2011	 27639	05 51 02.41	+37 18 20.5	 4.72	 31	ups  	Aur
087.8724583	+39.1484722	 39003	BD+39  1429 	 7334	2012	 27673	05 51 29.39	+39 08 54.5	 3.97	 32	nu.  	Aur
086.1934167	-65.7355278	 39014	CP-65   496 	 7246	2015	 27100	05 44 46.42	-65 44 07.9	 4.34	   	del  	Dor
087.6204167	+14.3056944	 39019	BD+14  1041 	 7323	2016	 27581	05 50 28.90	+14 18 20.5	 5.54	135	     	Tau
086.8211667	-51.0667222	 39060	CD-51  1620 	 7287	2020	 27321	05 47 17.08	-51 04 00.2	 3.85	   	bet  	Pic
084.2866250	-80.4716667	 39091	CP-80   161 	 7161	2022	 26394	05 37 08.79	-80 28 18.0	 5.65	   	pi.  	Men
088.7409583	+59.8884167	 39220	BD+59   920 	 7402	2027	 27971	05 54 57.83	+59 53 18.3	 5.20	 31	     	Cam
088.7116250	+55.7069167	 39283	BD+55  1027 	 7404	2029	 27949	05 54 50.79	+55 42 24.9	 4.96	 30	ksi  	Aur
087.8415833	 -7.5180000	 39291	BD-07  1187 	 7354	2031	 27658	05 51 21.98	-07 31 04.8	 5.36	 55	     	Ori
088.0929167	+14.1718056	 39317	BD+14  1060 	 7374	2033	 27743	05 52 22.30	+14 10 18.5	 5.60	137	     	Tau
088.3318333	+27.6122778	 39357	BD+27   899 	 7389	2034	 27830	05 53 19.64	+27 36 44.2	 4.56	136	     	Tau
087.8297917	-20.8775000	 39364	BD-20  1211 	 7362	2035	 27654	05 51 19.15	-20 52 39.0	 3.76	 15	del  	Lep
088.1101667	 +1.8551667	 39400	BD+01  1151 	 7380	2037	 27750	05 52 26.44	+01 51 18.6	 4.76	 56	     	Ori
087.7397917	-35.7693056	 39425	CD-35  2546 	 7364	2040	 27628	05 50 57.55	-35 46 09.5	 3.12	   	bet  	Col
087.4565833	-56.1665000	 39523	CP-56   946 	 7353	2042	 27530	05 49 49.58	-56 09 59.4	 4.50	   	gam  	Pic
088.5961667	+20.2764167	 39587	BD+20  1162 	 7419	2047	 27913	05 54 23.08	+20 16 35.1	 4.39	 54	chi01	Ori
088.7362083	+19.7496111	 39698	BD+19  1126 	 7436	2052	 27965	05 54 56.69	+19 44 58.6	 5.92	 57	     	Ori
088.2786667	-33.8014444	 39764	CD-33  2599 	 7416	2056	 27810	05 53 06.88	-33 48 05.2	 4.88	   	lam  	Col
082.5580417	-84.7852222	 39780	CP-84    75 	 7134	2059	 25776	05 30 13.93	-84 47 06.8	 6.18	 31	     	Men
088.7928750	 +7.4070278	 39801	BD+07  1055 	 7451	2061	 27989	05 55 10.29	+07 24 25.3	 0.45	 58	alf  	Ori
086.9506250	-72.7023056	 39810	CP-72   418 	 7351	2062	 27369	05 47 48.15	-72 42 08.3	 6.54	   	lam  	Men
088.9554167	+20.1750000	 39816	BD+20  1171 	 7457	2063	      	05 55 49.30	+20 10 30.0	 5.40	   	U    	Ori
087.4731250	-66.9012222	 39844	CP-66   463 	 7384	2064	 27534	05 49 53.55	-66 54 04.4	 5.10	   	eps  	Dor
089.8814583	+54.2849722	 40035	BD+54   970 	 7521	2077	 28358	05 59 31.55	+54 17 05.9	 3.72	 33	del  	Aur
089.4985833	+25.9539167	 40111	BD+25  1052 	 7507	2084	 28237	05 57 59.66	+25 57 14.1	 4.81	139	     	Tau
089.1013333	-14.1680278	 40136	BD-14  1286 	 7492	2085	 28103	05 56 24.32	-14 10 04.9	 3.71	 16	eta  	Lep
088.8745417	-37.1206111	 40176	CD-37  2487 	 7481	2087	 28010	05 55 29.89	-37 07 14.2	 4.97	   	ksi  	Col
089.8823750	+44.9474444	 40183	BD+44  1328 	 7543	2088	 28360	05 59 31.77	+44 56 50.8	 1.90	 34	bet  	Aur
089.9837500	+45.9367500	 40239	BD+45  1217 	 7554	2091	 28404	05 59 56.10	+45 56 12.3	 4.30	 35	pi.  	Aur
089.0872500	-31.3824444	 40248	CD-31  2848 	 7499	2092	 28098	05 56 20.94	-31 22 56.8	 5.52	   	sig  	Col
089.9301667	+37.2127778	 40312	BD+37  1380 	 7557	2095	 28380	05 59 43.24	+37 12 46.0	 2.65	 37	the  	Aur
089.6018333	 +1.8371389	 40372	BD+01  1171 	 7539	2100	 28271	05 58 24.44	+01 50 13.7	 5.89	 59	     	Ori
090.2440000	+47.9019722	 40394	BD+47  1227 	 7580	2101	 28499	06 00 58.56	+47 54 07.1	 5.71	 36	     	Aur
088.5245833	-63.0910278	 40409	CP-63   498 	 7477	2102	 27890	05 54 05.90	-63 05 27.7	 4.65	 36	     	Dor
089.7065833	 +0.5529722	 40446	BD+00  1239 	 7556	2103	 28296	05 58 49.58	+00 33 10.7	 5.21	 60	     	Ori
089.3842083	-35.2833056	 40494	CD-35  2612 	 7536	2106	 28199	05 57 32.21	-35 16 59.9	 4.36	   	gam  	Col
089.7544583	 -9.3822500	 40535	BD-09  1284 	 7560	2107	 28321	05 59 01.07	-09 22 56.1	 6.15	  1	     	Mon
089.7679583	 -9.5581389	 40536	BD-09  1285 	 7565	2108	 28325	05 59 04.31	-09 33 29.3	 5.04	  2	     	Mon
090.4234583	+22.4010556	 40724	BD+22  1140 	 7610	2116	 28561	06 01 41.63	+22 24 03.8	 6.36	141	     	Tau
090.8244583	+42.9118889	 40801	BD+42  1473 	 7641	2119	 28677	06 03 17.87	+42 54 42.8	 6.08	 38	     	Aur
089.7866250	-42.8151111	 40808	CD-42  2266 	 7591	2120	 28328	05 59 08.79	-42 48 54.4	 3.96	   	eta  	Col
091.1212917	+51.5735000	 40873	BD+51  1146 	 7663	2123	 28765	06 04 29.11	+51 34 24.6	 6.39	 35	     	Cam
090.5957917	 +9.6473611	 40932	BD+09  1064 	 7635	2124	 28614	06 02 22.99	+09 38 50.5	 4.12	 61	mu.  	Ori
087.5700000	-79.3615278	 40953	CP-79   202 	 7476	2125	 27566	05 50 16.80	-79 21 41.5	 5.46	   	kap  	Men
090.4601250	-10.5979444	 40967	BD-10  1349 	 7631	2128	 28574	06 01 50.43	-10 35 52.6	 4.92	  3	     	Mon
090.8640000	+19.6906111	 41040	BD+19  1186 	 7662	2130	 28691	06 03 27.36	+19 41 26.2	 5.14	 64	     	Ori
091.2642500	+42.9819722	 41074	BD+42  1477 	 7685	2132	 28823	06 05 03.42	+42 58 55.1	 5.90	 39	     	Aur
091.0300833	+23.2636389	 41116	BD+23  1170 	 7676	2134	 28734	06 04 07.22	+23 15 49.1	 4.16	  1	     	Gem
090.9799167	+20.1384722	 41117	BD+20  1233 	 7675	2135	 28716	06 03 55.18	+20 08 18.5	 4.64	 62	chi02	Ori
091.6462083	+38.4827778	 41357	BD+38  1377 	 7723	2143	 28946	06 06 35.09	+38 28 58.0	 5.35	 40	     	Aur
091.2424583	 +5.4199722	 41361	BD+05  1085 	 7702	2144	 28812	06 04 58.19	+05 25 11.9	 5.67	 63	     	Ori
091.2431667	 +4.1586667	 41380	BD+04  1116 	 7704	2145	 28814	06 04 58.36	+04 09 31.2	 5.63	 66	     	Ori
091.2463750	-16.4844167	 41511	BD-16  1349 	 7711	2148	 28816	06 04 59.13	-16 29 03.9	 4.92	 17	     	Lep
091.0845000	-32.1727222	 41534	CD-32  2743 	 7708	2149	 28756	06 04 20.28	-32 10 21.8	 5.65	 72	     	Col
091.7027500	+23.6386111	 41543	BD+23  1192 	 7739	    	 28969	06 06 48.66	+23 38 19.0	 6.67	  2	     	Gem
092.4957917	+58.9356389	 41597	BD+58   897 	 7796	2152	 29246	06 09 58.99	+58 56 08.3	 5.35	 37	     	Cam
091.5388750	-14.9352778	 41695	BD-14  1331 	 7742	2155	 28910	06 06 09.33	-14 56 07.0	 4.67	 18	the  	Lep
091.4397500	-24.1955278	 41698	CD-24  3679 	 7737	2156	 28874	06 05 45.54	-24 11 43.9	 6.74	   	S    	Lep
091.8930000	+14.7685278	 41753	BD+14  1152 	 7772	2159	 29038	06 07 34.32	+14 46 06.7	 4.42	 67	nu.  	Ori
093.2127083	+65.7185000	 41927	BD+65   517 	 7856	2165	 29490	06 12 51.05	+65 43 06.6	 5.36	 36	     	Cam
091.9234583	-19.1660000	 42042	BD-19  1361 	 7794	2168	 29048	06 07 41.63	-19 09 57.6	 5.28	 19	     	Lep
091.6711250	-42.2988056	 42078	CD-42  2343 	 7785	2171	 28957	06 06 41.07	-42 17 55.7	 6.15	   	pi.01	Col
